time_sec,time_min,run_id,phase,event_marker,event_zone,scenario_demand,team_state,team_state_label,fist_leader_state,fso_state,jtac_state,foa_state,fom_state,fist_leader_heart_rate,fist_leader_respiration_rate,fist_leader_eeg_alpha_power,fist_leader_gaze_task_focus,fist_leader_communication_activity,fso_heart_rate,fso_respiration_rate,fso_eeg_alpha_power,fso_gaze_task_focus,fso_communication_activity,jtac_heart_rate,jtac_respiration_rate,jtac_eeg_alpha_power,jtac_gaze_task_focus,jtac_communication_activity,foa_heart_rate,foa_respiration_rate,foa_eeg_alpha_power,foa_gaze_task_focus,foa_communication_activity,fom_heart_rate,fom_respiration_rate,fom_eeg_alpha_power,fom_gaze_task_focus,fom_communication_activity
0,0.0,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,1,0,0,0,85.151,16.8225,0.4067,0.6339,0.1984,77.6233,16.0735,0.5347,0.656,0.2084,88.3113,16.0029,0.4657,0.739,0.2028,77.16,14.5273,0.5327,0.6439,0.1403,81.2116,14.3449,0.5471,0.5432,0.1428
1,0.0167,synthetic_run_001,orientation,,False,0.15,0,monitoring,3,0,0,2,0,81.9261,16.6865,0.4785,0.7446,0.1587,79.9811,16.0671,0.5228,0.6927,0.1554,84.2943,16.5143,0.4185,0.7037,0.1982,75.5952,15.6446,0.4711,0.5879,0.1461,78.2454,14.391,0.5488,0.6435,0.1024
2,0.0333,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,3,0,0,84.5938,16.1839,0.4842,0.6824,0.2159,80.5049,14.8405,0.5023,0.6291,0.0922,87.7675,17.2506,0.4281,0.7819,0.2071,73.7879,13.7123,0.4987,0.5522,0.142,79.3583,14.385,0.5908,0.536,0.1017
3,0.05,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,3,0,0,79.6999,16.4175,0.4833,0.6764,0.1197,80.0119,15.3875,0.5711,0.6376,0.1008,90.7302,17.5341,0.425,0.8298,0.1526,76.6424,13.7687,0.5672,0.5987,0.0485,78.3439,16.2674,0.667,0.6169,0.0625
4,0.0667,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,3,0,0,82.5862,15.5803,0.4701,0.776,0.1999,75.8157,14.981,0.5131,0.7581,0.1585,85.1331,16.0939,0.3871,0.8697,0.1709,79.5495,15.178,0.5395,0.6096,0.0893,73.8037,13.6476,0.571,0.6867,0.12
5,0.0833,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,83.9826,15.7413,0.5137,0.7377,0.2688,76.49,16.6907,0.5753,0.6412,0.1328,90.5918,16.0542,0.4575,0.7183,0.2117,80.5965,14.9425,0.5675,0.489,0.1196,74.5681,14.4027,0.5971,0.5124,0.1135
6,0.1,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,1,0,4,0,82.7791,16.8722,0.4938,0.7922,0.1843,80.0335,15.5113,0.4695,0.6574,0.1634,85.6229,16.5401,0.3838,0.7066,0.2278,75.896,14.3467,0.4398,0.5982,0.0849,75.3352,13.9685,0.5617,0.4865,0.0386
7,0.1167,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,2,0,0,87.5412,18.3941,0.434,0.6899,0.2091,78.9604,15.9919,0.5302,0.6294,0.1453,86.9139,16.9557,0.4006,0.7663,0.2786,77.6169,14.8701,0.5197,0.631,0.1171,77.3489,14.0596,0.5261,0.6635,0.1251
8,0.1333,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,85.5404,16.4335,0.4361,0.6837,0.2052,79.2723,15.1684,0.5203,0.7403,0.0237,88.1512,16.4725,0.3735,0.7617,0.2984,76.7772,14.8209,0.5081,0.5919,0.187,79.0903,15.0213,0.626,0.6183,0.1534
9,0.15,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,3,0,0,0,85.6771,15.1274,0.5024,0.7006,0.2506,81.3477,14.2084,0.4902,0.5817,0.1261,85.9624,15.959,0.4361,0.669,0.1784,80.0417,15.357,0.4648,0.6303,0.1256,71.9609,14.1971,0.5857,0.4971,0.1858
10,0.1667,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,85.2903,16.9248,0.4832,0.7261,0.2055,79.1645,15.6767,0.55,0.5885,0.1457,85.691,16.9318,0.4646,0.7427,0.2784,78.7191,16.7321,0.5378,0.4918,0.2022,79.381,13.3882,0.5212,0.4959,0.0723
11,0.1833,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,3,0,4,0,80.3919,14.2219,0.4769,0.6837,0.215,80.0441,16.0741,0.5005,0.6838,0.1168,89.3052,16.455,0.4532,0.726,0.2061,74.6478,13.6843,0.4333,0.5673,0.1755,78.8963,15.7321,0.5626,0.6732,0.1166
