time_sec,time_min,run_id,phase,event_marker,event_zone,team_state,team_state_label,fist_leader_state,fso_state,jtac_state,foa_state,fom_state
0,0.0,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,1,0,0,0
1,0.0167,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,3,0,0,2,0
2,0.0333,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,0,3,0,0
3,0.05,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,3,0,0
4,0.0667,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,3,0,0
5,0.0833,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,0
6,0.1,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,1,0,4,0
7,0.1167,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,2,0,0
8,0.1333,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,0
9,0.15,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,3,0,0,0
10,0.1667,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,0
11,0.1833,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,3,0,4,0
12,0.2,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,3,3,0,0
13,0.2167,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,1,0,0,0
14,0.2333,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,1,0,0,0
15,0.25,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,0,0,0,0
16,0.2667,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,0,0,0,0
17,0.2833,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,1,0,0,0
18,0.3,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,0
19,0.3167,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,0
20,0.3333,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,0
21,0.35,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,2,0
22,0.3667,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,2,0,0,0
23,0.3833,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,1,0,0,0
24,0.4,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,4,0
25,0.4167,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,1,0,0,0
26,0.4333,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,0,3,0,0
27,0.45,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,2,0,0
28,0.4667,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,1
29,0.4833,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,1,0,0,0
30,0.5,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,1,0,0,0
31,0.5167,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,0
32,0.5333,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,0,3,0,0
33,0.55,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,1,0,3,0,0
34,0.5667,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,0
35,0.5833,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,0,0,0,0
36,0.6,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,0,0,0,0
37,0.6167,synthetic_seed42_n900_event450,orientation,,False,4,reorganizing,4,4,3,0,0
38,0.6333,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,1,0,0,0
39,0.65,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,2,3,0,0
40,0.6667,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,0,0,0,0
41,0.6833,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,0
42,0.7,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,2,1,0,0,0
43,0.7167,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,0,0
44,0.7333,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,0,1,0
45,0.75,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,1,0,0,0
46,0.7667,synthetic_seed42_n900_event450,orientation,,False,0,monitoring,0,0,4,0,0
